X,Y,Name,description
-103.366781,20.7612325,Daylight_M,
-103.3667488,20.7615786,Daylight_M,
-103.3667783,20.7618256,Daylight_M,
-103.3670948,20.7622233,Daylight_M,
-103.3676819,20.7628951,Daylight_M,
-103.3689775,20.7624767,Daylight_M,
-103.3689801,20.7623212,Daylight_M,
-103.3659979,20.7625757,Daylight_M,
-103.3648255,20.7641143,Daylight_M,
-103.3698722,20.7669757,Daylight_M,
-103.3675629,20.7685431,Daylight_M,
-103.366425,20.7715733,Daylight_M,
-103.364937,20.766369,Daylight_M,
-103.3622868,20.7625693,Daylight_M,
-103.3625604,20.7620927,Daylight_M,
-103.3639608,20.7595509,Daylight_M,
-103.3653277,20.7577328,Daylight_M,
-103.365684,20.7564399,Daylight_M,
-103.3660347,20.7555514,Daylight_M,
-103.3632983,20.7553871,Daylight_M,
-103.3717519,20.765754,Nightime_M,
-103.3694904,20.7624836,Nightime_M,
-103.3676443,20.7628801,Nightime_M,
-103.3668331,20.7615925,Nightime_M,
-103.3668599,20.7612815,Nightime_M,
-103.3760066,20.7616857,Nightime_M,
-103.3762445,20.7616178,Nightime_M,
-103.3750112,20.7574134,Nightime_M,
-103.3681251,20.7547104,Nightime_M,
-103.3677148,20.7569952,Nightime_M,
-103.3675086,20.7579995,Nightime_M,
-103.3662831,20.7587929,Nightime_M,
-103.3655004,20.7572022,Nightime_M,
-103.3660132,20.7554912,Nightime_M,
-103.3637556,20.7552699,Nightime_M,
-103.3602802,20.7604284,Nightime_M,
-103.3632701,20.764527,Nightime_M,
-103.364877,20.7664357,Nightime_M,
-103.3629995,20.7677261,Nightime_M,
-103.3658589,20.7638802,Nightime_M,
-103.3657156,20.7641363,Nightime_M,
-103.3658979,20.764046,Nightime_M,
-103.3657772,20.7639231,Nightime_M,
-103.3756296,20.7617695,Daylight,
-103.3702222,20.7630536,Daylight,
-103.3631782,20.7702306,Daylight,
-103.3659227,20.7655416,Daylight,
-103.3647686,20.7660661,Daylight,
-103.3653537,20.7647683,Daylight,
-103.3651848,20.7650542,Daylight,
-103.3676301,20.76293,Daylight,
-103.3673995,20.7630629,Daylight,
-103.3669945,20.763261,Daylight,
-103.3685179,20.7623343,Daylight,
-103.3658986,20.7632419,Daylight,
-103.3654238,20.7639429,Daylight,
-103.3632701,20.764527,Daylight,
-103.3628087,20.7647376,Daylight,
-103.3627122,20.7643263,Daylight,
-103.3626853,20.7636191,Daylight,
-103.3626132,20.7640574,Daylight,
-103.3620875,20.7645717,Daylight,
-103.362117,20.7642632,Daylight,
-103.3627897,20.7631618,Daylight,
-103.3644905,20.7632719,Daylight,
-103.3621054,20.7623341,Daylight,
-103.3636379,20.7616244,Daylight,
-103.3668859,20.7614666,Daylight,
-103.3672399,20.7616936,Daylight,
-103.3676141,20.7575445,Daylight,
-103.3674363,20.7585163,Daylight,
-103.3651564,20.7582499,Daylight,
-103.3651403,20.7584757,Daylight,
-103.3649137,20.7591453,Daylight,
-103.3641895,20.7591704,Daylight,
-103.363586,20.7598576,Daylight,
-103.3628697,20.7589408,Daylight,
-103.3622985,20.7594549,Daylight,
-103.3697635,20.7619727,Nightime,
-103.3679932,20.7604879,Nightime,
-103.3762445,20.7616178,Nightime,
-103.3739164,20.7593003,Nightime,
-103.3675949,20.7585494,Nightime,
-103.3676566,20.7584766,Nightime,
-103.3681877,20.7583086,Nightime,
-103.3692316,20.7560583,Nightime,
-103.3652757,20.7579758,Nightime,
-103.3641551,20.7593708,Nightime,
-103.3638601,20.7596116,Nightime,
-103.3636791,20.7598778,Nightime,
-103.3635176,20.7602354,Nightime,
-103.3633367,20.7605962,Nightime,
-103.3628949,20.7613403,Nightime,
-103.3630558,20.7610594,Nightime,
-103.3631711,20.7608814,Nightime,
-103.3628315,20.7613151,Nightime,
-103.362271,20.7614079,Nightime,
-103.3637113,20.7616512,Nightime,
-103.3646474,20.7608185,Nightime,
-103.3628041,20.7631446,Nightime,
-103.3629248,20.7631823,Nightime,
-103.3644651,20.7632697,Nightime,
-103.3638696,20.7632472,Nightime,
-103.3640645,20.7632247,Nightime,
-103.3660895,20.7637858,Nightime,
-103.3657221,20.7640943,Nightime,
-103.3658976,20.7650265,Nightime,
-103.3658547,20.7655186,Nightime,
-103.3660902,20.7660643,Nightime,
-103.3659293,20.7666111,Nightime,
-103.365889,20.7665709,Nightime,
-103.3643585,20.7656831,Nightime,
-103.3644401,20.7663918,Nightime,
-103.3669946,20.7676668,Nightime,
-103.3702275,20.7665211,Nightime,
-103.3679624,20.7662562,Nightime,
-103.3680375,20.7661859,Nightime,
-103.3687531,20.7641531,Nightime,
-103.3696624,20.7651663,Nightime,
-103.369539,20.7650535,Nightime,
-103.3694264,20.7649456,Nightime,
-103.3693352,20.7648253,Nightime,
-103.3691716,20.7646547,Nightime,
-103.3690283,20.7644736,Nightime,
-103.3683287,20.7636925,Nightime,
-103.3680045,20.7633514,Nightime,
-103.3679348,20.763257,Nightime,
-103.3671869,20.7621435,Nightime,
-103.3646968,20.7641651,Nightime,
-103.3644715,20.7642027,Nightime,
-103.3637366,20.7642579,Nightime,
-103.3628032,20.7646867,Nightime,
-103.3632538,20.7645212,Nightime,
-103.3626952,20.7643172,Nightime,
-103.3626132,20.7640574,Nightime,
-103.362117,20.7642406,Nightime,
-103.3621009,20.7645391,Nightime,
-103.3621718,20.7652757,Nightime,
-103.3612602,20.7647608,Nightime,
-103.3612119,20.764737,Nightime,
-103.3620166,20.7653991,Nightime,
-103.3643385,20.7663808,Nightime,
-103.3642029,20.7685706,Nightime,
-103.3636961,20.7693981,Nightime,
-103.3654558,20.767975,Nightime,
-103.3622703,20.7622643,Nightime,
-103.362796,20.7630067,Nightime,
-103.3622914,20.762602,Nightime,
-103.3623402,20.7594557,Nightime,
-103.3623965,20.7606822,Nightime,
-103.362257,20.7613543,Nightime,
-103.3611466,20.7610132,Nightime,
-103.3613979,20.7608602,Nightime,
